,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
654,126.91045,37.0873833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 향남읍,4170284.0,구문천리,36758.0,Gumuncheon-ri,노변정류장,233000812
655,126.90703329999998,37.0959167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 향남읍,4170816.0,향남제약공단앞,37468.0,Hyangnam Pharmaceutical Industries Complex,노변정류장,233000813
656,126.90065,37.1072667,경기도 화성시,36757.0,화성시,경기도 화성시 향남읍,,상신1리마을앞,36757.0,Sangsin 1-ri Maeul ,노변정류장,233000814
657,126.9003333,37.1110167,경기도 화성시,37467.0,화성시,경기도 화성시 향남읍,,제약공단사원아파트앞,37467.0,Pharmaceutical Industries Complex Employee Apt. ,노변정류장,233000815
658,126.9094167,37.12945,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 향남읍,4117351.0,발안농협,37265.0,Baran Nonghyup,노변정류장,233000816
659,126.9102,37.1315333,경기도 화성시,37268.0,화성시,경기도 화성시 향남읍,,발안사거리.평리,37268.0,"Baran Sageori, Pyeong-ri ",노변정류장,233000817
660,126.91765,37.1427833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 팔탄면,4117347.0,가재4리.해병대보급중대,37282.0,"Gajae 4-ri, Marine Corps Supply Unit",노변정류장,233000819
661,126.91946670000002,37.1454,경기도 화성시,36764.0,화성시,경기도 화성시 팔탄면,,가재1리입구.자연샘,36764.0,"Gajae 1-ri, Jayeonsaem ",노변정류장,233000820
662,126.92551670000002,37.1535833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 팔탄면,4117343.0,가재3리.가재3리입구,37296.0,Gajae 3-ri ,노변정류장,233000821
663,126.92763329999998,37.1562833,경기도 화성시,37301.0,화성시,경기도 화성시 팔탄면,,가재3리.덕우공단입구,37301.0,"Gajae 3-ri, Deogu Industrial Complex",노변정류장,233000822
664,126.9311,37.1625833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4117339.0,진우아파트,36071.0,Jinu Apartment ,노변정류장,233000823
665,126.9318333,37.1641833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4117337.0,팔탄입구,36073.0,Paltan ,노변정류장,233000824
666,126.9346833,37.1679333,경기도 화성시,36077.0,화성시,경기도 화성시 봉담읍,,덕리,36077.0,Deok-ri,노변정류장,233000825
667,126.9363,37.1723333,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4117334.0,화성푸드통합지원센터(로컬푸드직매장),36082.0,Hwaseong Food Support Center ,노변정류장,233000826
668,126.93635,37.1786667,경기도 화성시,36083.0,화성시,경기도 화성시 봉담읍,,해병대사령부,36083.0,Republic of Korea Marine Corps,노변정류장,233000827
669,126.93815,37.1854833,경기도 화성시,36089.0,화성시,경기도 화성시 봉담읍,,당하리.흰돌산기도원입구,36089.0,"Dangha-ri, Huindolsan Prayer's House ",노변정류장,233000828
