'||승차역ID1||',startCount,end_count,transfer_count
1726.0,87,85.0,
1727.0,401,462.0,
1728.0,365,386.0,
1729.0,432,407.0,263.0
1749.0,91,97.0,322.0
1750.0,23,11.0,
1751.0,341,359.0,29.0
1752.0,47,55.0,13.0
1753.0,18,31.0,105.0
1754.0,74,76.0,547.0
1755.0,81,78.0,19.0
1756.0,178,211.0,84.0
1757.0,119,153.0,22.0
1758.0,14,34.0,20.0
1759.0,191,212.0,163.0
1760.0,24,25.0,
1761.0,150,186.0,26.0
1762.0,62,63.0,98.0
1763.0,46,32.0,11.0
1801.0,97,64.0,67.0
1802.0,68,43.0,
1803.0,103,75.0,
1804.0,153,179.0,64.0
1805.0,65,57.0,65.0
1806.0,209,142.0,45.0
1807.0,26,13.0,
1808.0,37,40.0,
1809.0,68,41.0,26.0
1810.0,22,19.0,
1811.0,24,21.0,27.0
1812.0,6,6.0,
1813.0,48,37.0,
1814.0,51,57.0,
1815.0,23,13.0,
1816.0,15,14.0,
1817.0,4,5.0,
1821.0,14,11.0,22.0
1822.0,28,30.0,
1823.0,12,11.0,
1846.0,822,880.0,4207.0
1847.0,87,100.0,
1848.0,191,207.0,16.0
1849.0,159,190.0,15.0
1850.0,125,151.0,
1851.0,228,257.0,49.0
1852.0,211,204.0,147.0
1853.0,341,365.0,440.0
1854.0,749,901.0,386.0
1855.0,1200,1384.0,1049.0
1856.0,712,776.0,83.0
1857.0,710,844.0,336.0
1858.0,650,687.0,1894.0
1859.0,505,571.0,566.0
1860.0,167,185.0,110.0
1861.0,152,117.0,192.0
1862.0,747,743.0,1196.0
1863.0,183,182.0,295.0
1864.0,337,395.0,76.0
1865.0,627,560.0,565.0
1866.0,301,311.0,732.0
1867.0,353,320.0,2709.0
1868.0,1326,1343.0,1778.0
1869.0,1052,952.0,12205.0
1870.0,569,515.0,740.0
1871.0,2694,3245.0,1638.0
1872.0,509,461.0,808.0
1878.0,4,,
1879.0,8,8.0,
1880.0,33,22.0,
1881.0,15,18.0,
1882.0,17,24.0,
1883.0,7,7.0,
1884.0,9,13.0,
1885.0,17,22.0,
1886.0,10,7.0,
1888.0,10,8.0,
1889.0,11,6.0,
1890.0,4,7.0,
1891.0,4,3.0,
1901.0,9,13.0,
1902.0,4,3.0,
1903.0,5,8.0,
1904.0,6,10.0,2.0
1905.0,18,5.0,4.0
1906.0,18,17.0,10.0
1907.0,3,3.0,
1908.0,1,2.0,
1909.0,6,2.0,
1910.0,2,,
1911.0,7,14.0,
1912.0,7,12.0,
1913.0,8,6.0,
1914.0,4,3.0,
1915.0,7,1.0,
1916.0,2,1.0,
1948.0,2,5.0,
1950.0,12,8.0,
1951.0,14,6.0,
1952.0,10,10.0,
1954.0,11,8.0,
1955.0,4,5.0,
1956.0,3,6.0,
1957.0,12,5.0,
1958.0,8,9.0,7.0
2266.0,1,,
2511.0,8,14.0,
2512.0,14,6.0,
2513.0,26,32.0,
2514.0,12,10.0,10.0
2515.0,43,23.0,
2516.0,81,83.0,
2517.0,25,24.0,
2518.0,56,51.0,
2519.0,64,78.0,29.0
2520.0,16,7.0,2.0
2521.0,32,34.0,
2522.0,87,104.0,
2523.0,24,25.0,
2525.0,8,20.0,
2526.0,8,10.0,
2527.0,76,97.0,
2528.0,40,20.0,3.0
2529.0,47,50.0,
2530.0,58,82.0,
2531.0,13,21.0,
2532.0,21,21.0,
2533.0,51,50.0,3.0
2534.0,69,58.0,2.0
2535.0,40,16.0,
2536.0,1,1.0,
2537.0,3,8.0,
2538.0,6,9.0,
2539.0,12,3.0,
2540.0,11,7.0,
2541.0,3,2.0,
2542.0,10,6.0,
2543.0,31,28.0,
2544.0,32,34.0,
2545.0,3,13.0,
2546.0,21,27.0,
2547.0,21,24.0,7.0
2548.0,3,3.0,
2549.0,45,44.0,
2550.0,19,26.0,
2551.0,24,34.0,
2552.0,10,12.0,
2553.0,13,14.0,
2554.0,11,24.0,
2555.0,17,19.0,
2556.0,22,24.0,
2557.0,23,16.0,
2558.0,1,1.0,
2559.0,6,7.0,
2560.0,25,22.0,
2561.0,12,11.0,
2611.0,20,14.0,
2612.0,4,7.0,
2613.0,4,3.0,
2614.0,2,3.0,
2616.0,10,8.0,
2617.0,18,10.0,
2618.0,13,8.0,
2619.0,29,27.0,16.0
2620.0,8,10.0,
2621.0,30,31.0,
2622.0,24,23.0,
2623.0,25,6.0,8.0
2624.0,39,56.0,
2625.0,20,18.0,
2626.0,12,18.0,
2627.0,25,24.0,
2628.0,6,10.0,
2629.0,11,10.0,
2630.0,10,16.0,
2631.0,66,43.0,
2632.0,19,23.0,
2633.0,1,1.0,
2634.0,4,2.0,
2635.0,10,6.0,
2636.0,17,26.0,
2637.0,13,21.0,
2638.0,9,4.0,
2639.0,4,5.0,
2640.0,60,60.0,
2641.0,24,24.0,
2642.0,22,30.0,3.0
2643.0,5,6.0,
2644.0,8,6.0,
2645.0,5,9.0,
2646.0,4,7.0,
2647.0,3,8.0,
2648.0,7,6.0,
2712.0,4,2.0,
2713.0,11,7.0,
2714.0,12,4.0,
2715.0,17,15.0,
2716.0,14,16.0,
2717.0,17,23.0,
2718.0,11,9.0,
2719.0,4,4.0,
2720.0,11,4.0,
2721.0,11,13.0,8.0
2722.0,21,18.0,
2723.0,14,10.0,
2724.0,14,17.0,
2725.0,8,8.0,
2726.0,36,31.0,
2727.0,41,31.0,
2728.0,60,61.0,3.0
2729.0,53,66.0,
2730.0,21,22.0,
2731.0,50,72.0,
2732.0,23,40.0,4.0
2733.0,97,106.0,2.0
2734.0,53,74.0,20.0
2735.0,14,13.0,
2736.0,58,67.0,
2737.0,34,48.0,
2738.0,35,39.0,
2739.0,27,21.0,
2740.0,55,70.0,
2741.0,36,35.0,
2742.0,28,30.0,
2743.0,64,48.0,
2744.0,48,56.0,7.0
2745.0,69,64.0,
2746.0,202,225.0,
2747.0,235,278.0,
2748.0,841,859.0,61.0
2749.0,158,156.0,
2750.0,171,134.0,64.0
2751.0,33,36.0,11.0
2752.0,32,44.0,
2753.0,12,13.0,28.0
2754.0,19,8.0,48.0
2755.0,35,33.0,22.0
2756.0,73,61.0,
2757.0,55,40.0,
2758.0,45,47.0,25.0
2759.0,16,10.0,9.0
2760.0,37,35.0,10.0
2761.0,31,31.0,40.0
2811.0,65,53.0,26.0
2812.0,121,152.0,46.0
2813.0,51,61.0,21.0
2814.0,50,69.0,
2815.0,186,272.0,23.0
2816.0,53,81.0,16.0
2817.0,52,53.0,15.0
2818.0,73,105.0,
2819.0,258,385.0,6.0
2820.0,180,168.0,41.0
2821.0,124,89.0,117.0
2822.0,41,41.0,7.0
2823.0,78,57.0,741.0
2824.0,60,62.0,316.0
2825.0,30,37.0,9.0
2826.0,67,65.0,6.0
2827.0,7,16.0,25.0
3110.0,1,1.0,
3111.0,1,1.0,
3112.0,1,1.0,
3113.0,12,6.0,
3114.0,20,13.0,
3115.0,13,16.0,
3116.0,20,19.0,
3117.0,6,16.0,
3118.0,3,3.0,
3119.0,10,17.0,
3120.0,3,4.0,
3121.0,4,4.0,
3122.0,2,2.0,
3123.0,11,15.0,
3124.0,6,3.0,
3125.0,22,20.0,
3126.0,9,17.0,
3128.0,5,5.0,
3129.0,2,3.0,
3130.0,1,2.0,
3131.0,5,4.0,
3132.0,1,1.0,2.0
3133.0,3,3.0,
3134.0,10,10.0,
3135.0,4,3.0,
3136.0,2,2.0,
3137.0,3,1.0,
3138.0,2,,
3201.0,2,2.0,
3202.0,2,3.0,
3203.0,4,7.0,
3204.0,2,3.0,
3205.0,4,4.0,
3206.0,2,3.0,
3207.0,1,,
3208.0,2,1.0,
3209.0,3,6.0,
3210.0,7,9.0,
3211.0,1,2.0,
3212.0,7,3.0,
3213.0,8,2.0,
3214.0,4,4.0,
3215.0,2,6.0,
3216.0,4,2.0,
3218.0,8,9.0,
3219.0,3,2.0,
3220.0,2,,
3222.0,2,1.0,
3223.0,1,,
3224.0,1,2.0,
3225.0,1,,
4101.0,5,4.0,
4102.0,19,27.0,
4103.0,3,7.0,
4104.0,11,9.0,
4105.0,28,37.0,
4106.0,23,25.0,
4107.0,62,76.0,
4108.0,30,25.0,
4109.0,28,22.0,
4110.0,41,22.0,19.0
4111.0,9,13.0,
4112.0,27,35.0,
4113.0,48,47.0,
4114.0,116,155.0,
4115.0,98,130.0,
4116.0,37,48.0,
4117.0,150,187.0,
4118.0,12,17.0,10.0
4119.0,40,39.0,4.0
4120.0,6,1.0,
4121.0,7,10.0,
4122.0,13,13.0,
4123.0,45,58.0,
4125.0,51,59.0,1021.0
4126.0,101,71.0,
4127.0,49,72.0,
4128.0,35,66.0,13.0
4129.0,144,173.0,
4130.0,20,17.0,
4140.0,1,,
4201.0,3,3.0,
4202.0,1,2.0,
4203.0,15,21.0,
4204.0,55,47.0,
4207.0,17,18.0,
4208.0,6,1.0,
4209.0,7,8.0,
4210.0,3,1.0,
4211.0,6,12.0,
4212.0,2,2.0,
4213.0,12,15.0,
4215.0,5,2.0,
4217.0,4,7.0,
4307.0,855,1255.0,215.0
4308.0,265,335.0,81.0
4309.0,169,195.0,46.0
4310.0,42,37.0,
4311.0,880,885.0,322.0
4312.0,210,202.0,38.0
4313.0,139,171.0,546.0
4314.0,109,119.0,924.0
4315.0,105,103.0,1039.0
4316.0,62,61.0,3187.0
4317.0,82,68.0,1040.0
4318.0,78,109.0,916.0
4319.0,29,62.0,28.0
4501.0,6,27.0,58.0
4502.0,76,117.0,6.0
4503.0,34,17.0,
4504.0,54,47.0,5.0
4505.0,183,149.0,13.0
4506.0,93,70.0,
4508.0,37,33.0,
4509.0,42,87.0,
4510.0,106,129.0,4.0
4511.0,48,76.0,
4512.0,91,89.0,33.0
4513.0,16,24.0,
4514.0,35,33.0,
4515.0,57,59.0,
4517.0,161,235.0,
4603.0,2,2.0,
4606.0,2,1.0,
4607.0,1,,
4610.0,1,,
4613.0,1,,
4614.0,3,,
4701.0,4,3.0,
4702.0,1,2.0,
4703.0,3,3.0,
4704.0,2,2.0,
4705.0,1,3.0,
4706.0,1,3.0,
4707.0,1,3.0,
4708.0,12,9.0,
4709.0,6,8.0,
4710.0,1,5.0,
4711.0,1,,
4712.0,1,2.0,
4804.0,10,7.0,
4805.0,2,5.0,
4806.0,7,5.0,
4807.0,9,9.0,2.0
4808.0,5,3.0,
4809.0,1,4.0,4.0
4810.0,8,5.0,
4811.0,4,4.0,
4812.0,9,8.0,
4813.0,6,1.0,
4814.0,4,12.0,
4815.0,6,4.0,
4853.0,10,5.0,
7197.0,18,,
7387.0,1,,
7404.0,1,,
7475.0,2,,
7479.0,4,1.0,
7486.0,3,,
7514.0,4,,
7525.0,3,1.0,
7526.0,3,3.0,
7570.0,2,,
7586.0,4,,
7591.0,7,,
7592.0,1,,
7620.0,4,,
7632.0,7,,
7642.0,2,,
7646.0,2,,
7651.0,3,,
7654.0,1,1.0,
7677.0,2,,
7683.0,1,,
7684.0,1,,
7693.0,2,,
7700.0,69,9.0,9.0
7703.0,1,3.0,5.0
7708.0,1,,
7738.0,3,2.0,
7760.0,1,,
7769.0,3,,
7773.0,23,,
7781.0,1,1.0,20.0
7823.0,6,,5.0
7830.0,3,,
7844.0,2,1.0,
7892.0,4,,
7917.0,1,1.0,
7923.0,12,,2.0
7932.0,1,9.0,
7985.0,1,,
8007.0,2,1.0,
8011.0,20,1.0,
8015.0,7,92.0,
8018.0,41,2.0,
8040.0,1,3.0,
8058.0,4,,
8088.0,1,4.0,17.0
8098.0,1,,
8099.0,1,,
8120.0,39,3.0,3.0
8132.0,1,55.0,
8188.0,1,,
8323.0,1,,
8332.0,1,,
8349.0,1,1.0,
8364.0,4,,
8386.0,3,,
8392.0,2,2.0,
8403.0,1,,
8423.0,1,,
8447.0,2,,
8453.0,2,,
8478.0,3,1.0,
8484.0,1,1.0,
8488.0,1,,
8495.0,1,,
8530.0,4,4.0,
8541.0,1,,
8546.0,2,3.0,81.0
8582.0,14,,
8583.0,2,2.0,
8587.0,2,,
8598.0,1,23.0,
8635.0,3,,
8654.0,3,,
8655.0,1,,
8680.0,18,1.0,
8692.0,1,38.0,
8722.0,1,,
8732.0,1,,
8733.0,2,,
8752.0,2,1.0,
8756.0,1,2.0,
8758.0,2,20.0,10.0
8767.0,6,1.0,
8780.0,5,1.0,
8794.0,3,2.0,
8798.0,4,,5.0
8801.0,2,3.0,
8818.0,3,,
8824.0,4,12.0,
8825.0,3,,
8828.0,1,,
8833.0,4,,
8836.0,4,,
8863.0,3,,
8872.0,1,,
8874.0,5,,
8877.0,3,2.0,5.0
8878.0,3,1.0,
8879.0,5,19.0,
8884.0,3,2.0,
8901.0,1,,
8902.0,3,2.0,
8907.0,9,,3.0
8909.0,6,,
8912.0,1,10.0,
8913.0,7,2.0,
8914.0,7,3.0,
8916.0,2,9.0,
8918.0,2,1.0,
8935.0,4,,
8937.0,1,4.0,
8949.0,2,,
8951.0,1,,
8952.0,12,1.0,
8955.0,12,1.0,
8964.0,6,2.0,
8965.0,1,3.0,
8966.0,6,1.0,
8971.0,1,4.0,
8974.0,2,,
8977.0,1,,
8978.0,2,2.0,2.0
8986.0,1,7.0,
8992.0,4,2.0,
8993.0,1,2.0,
8994.0,8,,4.0
9008.0,1,,
9013.0,3,2.0,
9027.0,12,2.0,
9049.0,1,,
9052.0,6,,
9055.0,2,2.0,
9061.0,3,,
9065.0,6,10.0,
9068.0,11,2.0,
9093.0,4,,
9100.0,13,1.0,3.0
9104.0,1,,
9110.0,5,,
9135.0,1,8.0,
9138.0,1,,
9165.0,1,,
9168.0,3,,
9170.0,1,,
9182.0,3,,
9226.0,5,2.0,
9238.0,1,,
9239.0,1,,
9252.0,2,,
9263.0,1,1.0,
9274.0,2,15.0,34.0
9279.0,17,3.0,10.0
9286.0,14,,
9292.0,3,11.0,
9300.0,16,,
9305.0,1,,
9307.0,8,1.0,
9311.0,2,,
9325.0,4,12.0,
9326.0,11,1.0,
9330.0,3,,
9348.0,3,6.0,
9349.0,4,1.0,
9358.0,1,3.0,
9364.0,2,2.0,
9371.0,2,,
9377.0,1,2.0,
9400.0,2,4.0,
9404.0,7,2.0,
9410.0,1,1.0,
9411.0,4,3.0,
9422.0,1,,
9423.0,2,1.0,7.0
9425.0,1,,
9426.0,5,9.0,
9430.0,15,1.0,
9439.0,6,1.0,2.0
9447.0,6,,
9450.0,2,5.0,
9457.0,1,8.0,
9459.0,2,,
9461.0,1,2.0,
9466.0,3,,
9476.0,2,5.0,
9485.0,1,23.0,
9488.0,1,,
9498.0,6,1.0,
9523.0,1,1.0,
9530.0,2,,
9531.0,3,2.0,
9543.0,2,,
9544.0,15,4.0,8.0
9558.0,11,3.0,
9572.0,2,10.0,
9578.0,2,1.0,
9586.0,2,7.0,
9595.0,15,3.0,5.0
9597.0,2,1.0,
9612.0,3,11.0,
9614.0,10,1.0,
9619.0,7,,
9623.0,2,10.0,
9624.0,2,,
9625.0,1,,
9631.0,1,2.0,
9633.0,1,1.0,
9635.0,22,8.0,
9636.0,3,12.0,
9640.0,4,,
9646.0,11,,2.0
9650.0,6,,
9656.0,9,,3.0
9667.0,2,4.0,
9668.0,1,4.0,
9670.0,16,2.0,
9671.0,2,14.0,
9673.0,2,,
9679.0,5,16.0,
9684.0,3,2.0,
9687.0,3,6.0,
9692.0,1,1.0,
9697.0,5,,
9699.0,1,15.0,2.0
9707.0,1,,
9710.0,4,,
9718.0,1,3.0,
9730.0,2,,
9737.0,12,,
9748.0,2,,
9751.0,15,,
9752.0,1,1.0,
9755.0,2,,
9758.0,2,3.0,
9759.0,2,,
9767.0,2,,
9772.0,6,,
9773.0,5,6.0,
9779.0,3,,
9785.0,2,,
9806.0,1,9.0,
9809.0,1,5.0,
9814.0,12,2.0,
9816.0,10,,
9818.0,4,,
9824.0,1,10.0,
9830.0,2,,
9831.0,1,,
9840.0,2,1.0,2.0
9846.0,1,1.0,
9847.0,1,4.0,
9848.0,5,3.0,
9853.0,1,6.0,
9856.0,1,3.0,
9857.0,1,,
9860.0,13,,3.0
9861.0,2,,
9865.0,8,1.0,
9870.0,3,,
9871.0,6,,
9872.0,5,,
9873.0,7,,
9882.0,10,,2.0
9886.0,1,,
9887.0,5,2.0,
9899.0,2,1.0,
9902.0,2,3.0,
9905.0,2,2.0,
9909.0,4,,
9912.0,1,3.0,
9924.0,4,2.0,
9927.0,3,1.0,
9929.0,2,,
9932.0,1,7.0,
9935.0,11,,
9956.0,1,,
9957.0,3,,3.0
9960.0,1,,
9964.0,27,,
9966.0,1,4.0,
9987.0,3,,
10003.0,2,,
10007.0,1,3.0,
10020.0,1,,
10034.0,2,,
10041.0,4,,
10073.0,1,2.0,
10076.0,1,,
10105.0,1,,
10107.0,1,,
10120.0,1,1.0,11.0
10128.0,2,5.0,
10145.0,2,,
10148.0,1,1.0,
10166.0,6,,
10200.0,1,,
10202.0,1,,
10205.0,1,,
10228.0,4,,
10232.0,1,,
10237.0,2,,
10253.0,2,,
10264.0,1,,
10274.0,11,1.0,
10280.0,3,2.0,
10290.0,1,9.0,
10296.0,1,,
10307.0,1,,
10309.0,2,,
10342.0,1,,
10360.0,2,,
10365.0,1,,
10389.0,2,,
10393.0,1,,
10401.0,3,2.0,
10408.0,1,,
10411.0,4,,
10430.0,2,1.0,
10441.0,4,,
10463.0,1,,
10474.0,2,1.0,
10487.0,4,,3.0
10494.0,7,15.0,
10495.0,1,,
10503.0,29,17.0,
10506.0,1,4.0,
10508.0,9,,
10509.0,1,,
10517.0,4,19.0,
10529.0,7,1.0,
10532.0,5,,
10536.0,8,,13.0
10544.0,4,,
10550.0,2,,
10551.0,1,4.0,
10564.0,2,,
10574.0,1,9.0,
10582.0,1,,
10591.0,2,,
10593.0,10,4.0,
10597.0,2,5.0,
10603.0,1,2.0,
10614.0,7,,
10616.0,1,,
10618.0,1,,
10625.0,1,7.0,
10634.0,2,1.0,6.0
10655.0,2,,
10657.0,7,6.0,
10661.0,5,17.0,15.0
10670.0,5,1.0,8.0
10674.0,2,6.0,
10681.0,1,9.0,7.0
10689.0,6,,
10695.0,23,4.0,22.0
10700.0,3,7.0,21.0
10711.0,1,2.0,27.0
10715.0,1,6.0,
10718.0,4,16.0,151.0
10723.0,10,,
10730.0,5,3.0,24.0
10732.0,1,6.0,
10734.0,8,3.0,
10738.0,1,5.0,
10740.0,5,1.0,
